Food_ID,Name,C_Type,Veg_Non,Describe,Health_Issue,Climate,Restaurant,Rating,Protein,Calories,Carbs
1.0,Grilled Salmon Salad Variant 1,Healthy Food,non-veg,"A delightful and nutritious dish featuring fresh salmon, perfect for a flavorful and health-conscious meal.",Diabetes,winter,Energy Bites,4.2,27.1,469.0,25.8
2.0,Grilled Salmon Salad Variant 2,Healthy Food,veg,"A delightful and nutritious dish featuring fresh salmon, perfect for a flavorful and health-conscious meal.",Diabetes,winter,Ocean Breeze,3.6,6.1,435.0,70.8
3.0,Quinoa Veggie Bowl Variant 1,Healthy Food,non-veg,"A wholesome and hearty quinoa bowl packed with vibrant veggies, ideal for a nutritious, energy-boosting option.",Diabetes,winter,Energy Bites,4.6,6.7,498.0,14.1
4.0,Stir-Fried Tofu Variant 1,Healthy Food,veg,"A savory and protein-rich stir-fried tofu dish, offering a delicious, plant-based alternative.",Diabetes,summer,Urban Plates,4.1,15.7,336.0,43.2
5.0,Avocado Chicken Wrap Variant 1,Healthy Food,non-veg,"A creamy and satisfying wrap with avocado and choice fillings, great for a balanced and refreshing meal.",Diabetes,summer,Spice House,4.5,5.9,132.0,20.1
6.0,Quinoa Veggie Bowl Variant 2,Healthy Food,veg,"A wholesome and hearty quinoa bowl packed with vibrant veggies, ideal for a nutritious, energy-boosting option.",Diabetes,summer,Spice House,5.0,16.5,172.0,71.6
7.0,Avocado Chicken Wrap Variant 2,Healthy Food,non-veg,"A creamy and satisfying wrap with avocado and choice fillings, great for a balanced and refreshing meal.",Diabetes,rainy,Fresh Greens,4.3,4.0,477.0,71.8
8.0,Stir-Fried Tofu Variant 2,Healthy Food,veg,"A savory and protein-rich stir-fried tofu dish, offering a delicious, plant-based alternative.",Diabetes,rainy,Urban Plates,4.2,8.9,214.0,53.2
9.0,Low-Carb Cauliflower Rice Variant 1,Healthy Food,non-veg,"A delicious and unique preparation of Low-Carb Cauliflower Rice Variant 1, crafted to please the palate and provide nourishment.",Diabetes,rainy,Healthy Greens,4.6,3.2,355.0,42.8
10.0,Avocado Chicken Wrap Variant 3,Healthy Food,veg,"A creamy and satisfying wrap with avocado and choice fillings, great for a balanced and refreshing meal.",Diabetes,summer,Home Kitchen,4.8,6.0,442.0,10.5
11.0,Kale and Lentil Soup Variant 1,Healthy Food,non-veg,"A delicious and unique preparation of Kale and Lentil Soup Variant 1, crafted to please the palate and provide nourishment.",Heart Health,winter,Vital Cafe,3.7,13.8,233.0,11.2
12.0,Grilled Tuna Variant 1,Healthy Food,veg,"A delicious and unique preparation of Grilled Tuna Variant 1, crafted to please the palate and provide nourishment.",Heart Health,rainy,Ocean Breeze,4.9,28.7,357.0,61.8
13.0,Berry Spinach Smoothie Variant 1,Healthy Food,non-veg,"A delicious and unique preparation of Berry Spinach Smoothie Variant 1, crafted to please the palate and provide nourishment.",Heart Health,summer,Ocean Breeze,4.1,8.3,417.0,17.0
14.0,Walnut-Crusted Salmon Variant 1,Healthy Food,veg,"A delightful and nutritious dish featuring fresh salmon, perfect for a flavorful and health-conscious meal.",Heart Health,winter,Vital Cafe,3.9,16.8,152.0,43.9
15.0,Roasted Beet Salad Variant 1,Healthy Food,non-veg,"A delicious and unique preparation of Roasted Beet Salad Variant 1, crafted to please the palate and provide nourishment.",Heart Health,summer,Fruit Bar,3.8,14.7,423.0,17.6
16.0,Kale and Lentil Soup Variant 2,Healthy Food,veg,"A delicious and unique preparation of Kale and Lentil Soup Variant 2, crafted to please the palate and provide nourishment.",Heart Health,summer,Ocean Breeze,3.8,11.6,228.0,62.1
17.0,Berry Spinach Smoothie Variant 2,Healthy Food,non-veg,"A delicious and unique preparation of Berry Spinach Smoothie Variant 2, crafted to please the palate and provide nourishment.",Heart Health,summer,Fruit Bar,4.3,15.3,283.0,59.1
18.0,Walnut-Crusted Salmon Variant 2,Healthy Food,veg,"A delightful and nutritious dish featuring fresh salmon, perfect for a flavorful and health-conscious meal.",Heart Health,winter,Fruit Bar,4.1,15.4,276.0,42.7
19.0,Roasted Beet Salad Variant 2,Healthy Food,non-veg,"A delicious and unique preparation of Roasted Beet Salad Variant 2, crafted to please the palate and provide nourishment.",Heart Health,summer,Fresh Greens,4.0,23.3,357.0,13.2
20.0,Berry Spinach Smoothie Variant 3,Healthy Food,veg,"A delicious and unique preparation of Berry Spinach Smoothie Variant 3, crafted to please the palate and provide nourishment.",Heart Health,summer,Energy Bites,4.2,16.5,436.0,73.2
21.0,Sautéed Spinach Variant 1,Healthy Food,non-veg,"A delicious and unique preparation of Sautéed Spinach Variant 1, crafted to please the palate and provide nourishment.",Obesity,summer,Energy Bites,4.7,21.9,465.0,47.8
22.0,Mixed Bean Salad Variant 1,Healthy Food,veg,"A delicious and unique preparation of Mixed Bean Salad Variant 1, crafted to please the palate and provide nourishment.",Obesity,summer,Spice House,4.5,18.1,232.0,62.8
23.0,Sautéed Spinach Variant 2,Healthy Food,non-veg,"A delicious and unique preparation of Sautéed Spinach Variant 2, crafted to please the palate and provide nourishment.",Obesity,winter,Ocean Breeze,3.6,15.7,375.0,74.2
24.0,Sautéed Spinach Variant 3,Healthy Food,veg,"A delicious and unique preparation of Sautéed Spinach Variant 3, crafted to please the palate and provide nourishment.",Obesity,winter,Fresh Greens,4.3,29.8,371.0,42.2
25.0,Sautéed Spinach Variant 4,Healthy Food,non-veg,"A delicious and unique preparation of Sautéed Spinach Variant 4, crafted to please the palate and provide nourishment.",Obesity,winter,Fresh Greens,4.9,11.8,317.0,77.7
26.0,Greek Yogurt with Berries Variant 1,Healthy Food,veg,"A delicious and unique preparation of Greek Yogurt with Berries Variant 1, crafted to please the palate and provide nourishment.",Obesity,summer,Spice House,4.9,24.2,497.0,58.4
27.0,Mixed Bean Salad Variant 2,Healthy Food,non-veg,"A delicious and unique preparation of Mixed Bean Salad Variant 2, crafted to please the palate and provide nourishment.",Obesity,rainy,Vital Cafe,4.9,4.8,112.0,69.3
28.0,Greek Yogurt with Berries Variant 2,Healthy Food,veg,"A delicious and unique preparation of Greek Yogurt with Berries Variant 2, crafted to please the palate and provide nourishment.",Obesity,winter,Ocean Breeze,3.8,17.6,282.0,32.2
29.0,Sautéed Spinach Variant 5,Healthy Food,non-veg,"A delicious and unique preparation of Sautéed Spinach Variant 5, crafted to please the palate and provide nourishment.",Obesity,summer,Home Kitchen,3.7,20.7,120.0,79.3
30.0,Mixed Bean Salad Variant 3,Healthy Food,veg,"A delicious and unique preparation of Mixed Bean Salad Variant 3, crafted to please the palate and provide nourishment.",Obesity,rainy,Urban Plates,4.2,9.4,430.0,31.4
31.0,Grilled Salmon Salad Variant 3,Healthy Food,non-veg,"A delightful and nutritious dish featuring fresh salmon, perfect for a flavorful and health-conscious meal.",Hypertension,summer,Urban Plates,4.0,23.7,209.0,11.0
32.0,Grilled Salmon Salad Variant 4,Healthy Food,veg,"A delightful and nutritious dish featuring fresh salmon, perfect for a flavorful and health-conscious meal.",Hypertension,winter,Ocean Breeze,4.9,22.6,391.0,68.8
33.0,Quinoa Veggie Bowl Variant 3,Healthy Food,non-veg,"A wholesome and hearty quinoa bowl packed with vibrant veggies, ideal for a nutritious, energy-boosting option.",Hypertension,rainy,Fresh Greens,4.8,7.0,212.0,21.0
34.0,Stir-Fried Tofu Variant 3,Healthy Food,veg,"A savory and protein-rich stir-fried tofu dish, offering a delicious, plant-based alternative.",Hypertension,rainy,Ocean Breeze,4.7,16.4,378.0,61.5
35.0,Avocado Chicken Wrap Variant 4,Healthy Food,non-veg,"A creamy and satisfying wrap with avocado and choice fillings, great for a balanced and refreshing meal.",Hypertension,winter,Energy Bites,3.5,12.6,286.0,77.8
36.0,Quinoa Veggie Bowl Variant 4,Healthy Food,veg,"A wholesome and hearty quinoa bowl packed with vibrant veggies, ideal for a nutritious, energy-boosting option.",Hypertension,summer,Fresh Greens,4.4,26.9,419.0,24.3
