Food_ID,Name,C_Type,Veg_Non,Describe,Health_Issue,Climate,Restaurant,Rating,Protein,Calories,Carbs
1,Grilled Salmon Salad,Healthy Food,non-veg,Description of food item,Diabetes,winter,Energy Bites,4.2,27.1,469,25.8
2,Grilled Salmon Salad,Healthy Food,veg,Description of food item,Diabetes,winter,Ocean Breeze,3.6,6.1,435,70.8
3,Quinoa Veggie Bowl,Healthy Food,non-veg,Description of food item,Diabetes,winter,Energy Bites,4.6,6.7,498,14.1
4,Stir-Fried Tofu,Healthy Food,veg,Description of food item,Diabetes,summer,Urban Plates,4.1,15.7,336,43.2
5,Avocado Chicken Wrap,Healthy Food,non-veg,Description of food item,Diabetes,summer,Spice House,4.5,5.9,132,20.1
6,Quinoa Veggie Bowl,Healthy Food,veg,Description of food item,Diabetes,summer,Spice House,5,16.5,172,71.6
7,Avocado Chicken Wrap,Healthy Food,non-veg,Description of food item,Diabetes,rainy,Fresh Greens,4.3,4,477,71.8
8,Stir-Fried Tofu,Healthy Food,veg,Description of food item,Diabetes,rainy,Urban Plates,4.2,8.9,214,53.2
9,Low-Carb Cauliflower Rice,Healthy Food,non-veg,Description of food item,Diabetes,rainy,Healthy Greens,4.6,3.2,355,42.8
10,Avocado Chicken Wrap,Healthy Food,veg,Description of food item,Diabetes,summer,Home Kitchen,4.8,6,442,10.5
11,Kale and Lentil Soup,Healthy Food,non-veg,Description of food item,Heart Health,winter,Vital Cafe,3.7,13.8,233,11.2
12,Grilled Tuna,Healthy Food,veg,Description of food item,Heart Health,rainy,Ocean Breeze,4.9,28.7,357,61.8
13,Berry Spinach Smoothie,Healthy Food,non-veg,Description of food item,Heart Health,summer,Ocean Breeze,4.1,8.3,417,17
14,Walnut-Crusted Salmon,Healthy Food,veg,Description of food item,Heart Health,winter,Vital Cafe,3.9,16.8,152,43.9
15,Roasted Beet Salad,Healthy Food,non-veg,Description of food item,Heart Health,summer,Fruit Bar,3.8,14.7,423,17.6
16,Kale and Lentil Soup,Healthy Food,veg,Description of food item,Heart Health,summer,Ocean Breeze,3.8,11.6,228,62.1
17,Berry Spinach Smoothie,Healthy Food,non-veg,Description of food item,Heart Health,summer,Fruit Bar,4.3,15.3,283,59.1
18,Walnut-Crusted Salmon,Healthy Food,veg,Description of food item,Heart Health,winter,Fruit Bar,4.1,15.4,276,42.7
19,Roasted Beet Salad,Healthy Food,non-veg,Description of food item,Heart Health,summer,Fresh Greens,4,23.3,357,13.2
20,Berry Spinach Smoothie,Healthy Food,veg,Description of food item,Heart Health,summer,Energy Bites,4.2,16.5,436,73.2
21,Sautéed Spinach,Healthy Food,non-veg,Description of food item,Obesity,summer,Energy Bites,4.7,21.9,465,47.8
22,Mixed Bean Salad,Healthy Food,veg,Description of food item,Obesity,summer,Spice House,4.5,18.1,232,62.8
23,Sautéed Spinach,Healthy Food,non-veg,Description of food item,Obesity,winter,Ocean Breeze,3.6,15.7,375,74.2
24,Sautéed Spinach,Healthy Food,veg,Description of food item,Obesity,winter,Fresh Greens,4.3,29.8,371,42.2
25,Sautéed Spinach,Healthy Food,non-veg,Description of food item,Obesity,winter,Fresh Greens,4.9,11.8,317,77.7
26,Greek Yogurt with Berries,Healthy Food,veg,Description of food item,Obesity,summer,Spice House,4.9,24.2,497,58.4
27,Mixed Bean Salad,Healthy Food,non-veg,Description of food item,Obesity,rainy,Vital Cafe,4.9,4.8,112,69.3
28,Greek Yogurt with Berries,Healthy Food,veg,Description of food item,Obesity,winter,Ocean Breeze,3.8,17.6,282,32.2
29,Sautéed Spinach,Healthy Food,non-veg,Description of food item,Obesity,summer,Home Kitchen,3.7,20.7,120,79.3
30,Mixed Bean Salad,Healthy Food,veg,Description of food item,Obesity,rainy,Urban Plates,4.2,9.4,430,31.4
31,Grilled Salmon Salad,Healthy Food,non-veg,Description of food item,Hypertension,summer,Urban Plates,4,23.7,209,11
32,Grilled Salmon Salad,Healthy Food,veg,Description of food item,Hypertension,winter,Ocean Breeze,4.9,22.6,391,68.8
33,Quinoa Veggie Bowl,Healthy Food,non-veg,Description of food item,Hypertension,rainy,Fresh Greens,4.8,7,212,21
34,Stir-Fried Tofu,Healthy Food,veg,Description of food item,Hypertension,rainy,Ocean Breeze,4.7,16.4,378,61.5
35,Avocado Chicken Wrap,Healthy Food,non-veg,Description of food item,Hypertension,winter,Energy Bites,3.5,12.6,286,77.8
36,Quinoa Veggie Bowl,Healthy Food,veg,Description of food item,Hypertension,summer,Fresh Greens,4.4,26.9,419,24.3
37,Avocado Chicken Wrap,Healthy Food,non-veg,Description of food item,Hypertension,summer,Ocean Breeze,4.6,6.2,195,74.9
38,Stir-Fried Tofu,Healthy Food,veg,Description of food item,Hypertension,winter,Ocean Breeze,4.7,9.9,160,69.5
39,Low-Carb Cauliflower Rice,Healthy Food,non-veg,Description of food item,Hypertension,rainy,Urban Plates,4.8,8.6,309,30.2
40,Avocado Chicken Wrap,Healthy Food,veg,Description of food item,Hypertension,summer,Healthy Greens,4.5,10.8,111,27.1
41,Kale and Lentil Soup,Healthy Food,non-veg,Description of food item,Anemia,summer,Green Table,4.7,29.4,418,16.2
42,Grilled Tuna,Healthy Food,veg,Description of food item,Anemia,winter,Healthy Greens,4.7,24.6,463,78.3
43,Berry Spinach Smoothie,Healthy Food,non-veg,Description of food item,Anemia,summer,Fruit Bar,4,17.3,151,33.8
44,Walnut-Crusted Salmon,Healthy Food,veg,Description of food item,Anemia,rainy,Home Kitchen,3.6,8.1,493,77.9
45,Roasted Beet Salad,Healthy Food,non-veg,Description of food item,Anemia,rainy,Home Kitchen,3.9,15.8,340,41.3
46,Kale and Lentil Soup,Healthy Food,veg,Description of food item,Anemia,summer,Fresh Greens,4.6,22.4,222,66.3
47,Berry Spinach Smoothie,Healthy Food,non-veg,Description of food item,Anemia,winter,Energy Bites,3.7,8,146,38.5
